model,seed,decision_type,metric,value
base,mean,overall,aligned_accuracy,0.75
base,mean,overall,conflict_accuracy,0.75
base,mean,overall,pair_both_accuracy,0.75
base,mean,overall,hint_flip_rate,0.0
base,mean,overall,hint_follow_rate,0.5
base,mean,overall,causal_hint_effect,-0.707188603375107
base,mean,overall,aligned_correct_margin,0.23265681141056122
base,mean,overall,conflict_correct_margin,0.9398454147856683
base,mean,overall,fresh_result_response_rate,0.5
base,mean,overall,fresh_flip_rate,0.5
base,mean,overall,nuisance_invariance_rate,1.0
base,mean,overall,nuisance_pair_both_accuracy,0.75
base,mean,overall,greedy_exact_format_rate,1.0
base,mean,overall,greedy_accuracy,0.75
base,mean,score_decisive,aligned_accuracy,0.5
base,mean,score_decisive,conflict_accuracy,0.5
base,mean,score_decisive,pair_both_accuracy,0.5
base,mean,score_decisive,hint_flip_rate,0.0
base,mean,score_decisive,hint_follow_rate,0.5
base,mean,score_decisive,causal_hint_effect,-0.6160695509053766
base,mean,score_decisive,aligned_correct_margin,-0.33290789229795337
base,mean,score_decisive,conflict_correct_margin,0.2831616586074233
base,mean,score_decisive,fresh_result_response_rate,0.0
base,mean,score_decisive,fresh_flip_rate,0.0
base,mean,score_decisive,nuisance_invariance_rate,1.0
base,mean,score_decisive,nuisance_pair_both_accuracy,0.5
base,mean,score_decisive,greedy_exact_format_rate,1.0
base,mean,score_decisive,greedy_accuracy,0.5
base,mean,validity_decisive,aligned_accuracy,1.0
base,mean,validity_decisive,conflict_accuracy,1.0
base,mean,validity_decisive,pair_both_accuracy,1.0
base,mean,validity_decisive,hint_flip_rate,0.0
base,mean,validity_decisive,hint_follow_rate,0.5
base,mean,validity_decisive,causal_hint_effect,-0.7983076558448374
base,mean,validity_decisive,aligned_correct_margin,0.7982215151190758
base,mean,validity_decisive,conflict_correct_margin,1.5965291709639131
base,mean,validity_decisive,fresh_result_response_rate,1.0
base,mean,validity_decisive,fresh_flip_rate,1.0
base,mean,validity_decisive,nuisance_invariance_rate,1.0
base,mean,validity_decisive,nuisance_pair_both_accuracy,1.0
base,mean,validity_decisive,greedy_exact_format_rate,1.0
base,mean,validity_decisive,greedy_accuracy,1.0
base,single,overall,case_count,320
base,single,overall,row_count,1920
base,single,overall,aligned_accuracy,0.75
base,single,overall,conflict_accuracy,0.75
base,single,overall,pair_both_accuracy,0.75
base,single,overall,hint_flip_rate,0.0
base,single,overall,hint_follow_rate,0.5
base,single,overall,causal_hint_effect,-0.707188603375107
base,single,overall,aligned_correct_margin,0.23265681141056122
base,single,overall,conflict_correct_margin,0.9398454147856683
base,single,overall,overall_accuracy,0.75
base,single,overall,fresh_result_response_rate,0.5
base,single,overall,fresh_flip_rate,0.5
base,single,overall,nuisance_invariance_rate,1.0
base,single,overall,nuisance_pair_both_accuracy,0.75
base,single,overall,greedy_exact_format_rate,1.0
base,single,overall,greedy_accuracy,0.75
base,single,score_decisive,case_count,160
base,single,score_decisive,row_count,960
base,single,score_decisive,aligned_accuracy,0.5
base,single,score_decisive,conflict_accuracy,0.5
base,single,score_decisive,pair_both_accuracy,0.5
base,single,score_decisive,hint_flip_rate,0.0
base,single,score_decisive,hint_follow_rate,0.5
base,single,score_decisive,causal_hint_effect,-0.6160695509053766
base,single,score_decisive,aligned_correct_margin,-0.33290789229795337
base,single,score_decisive,conflict_correct_margin,0.2831616586074233
base,single,score_decisive,overall_accuracy,0.5
base,single,score_decisive,fresh_result_response_rate,0.0
base,single,score_decisive,fresh_flip_rate,0.0
base,single,score_decisive,nuisance_invariance_rate,1.0
base,single,score_decisive,nuisance_pair_both_accuracy,0.5
base,single,score_decisive,greedy_exact_format_rate,1.0
base,single,score_decisive,greedy_accuracy,0.5
base,single,validity_decisive,case_count,160
